region,geo
1,5006
1,5007
1,5008
1,5009
1,5010
1,5011
1,5012
1,5013
1,5014
1,5015
1,5016
1,5017
1,5018
1,5019
1,5020
1,5021
1,5022
1,5023
1,5024
1,5025
1,5026
1,5027
1,5028
1,5029
1,5030
1,5031
1,5032
1,5033
1,5034
1,5035
1,5036
1,5037
1,5038
1,5039
1,5040
1,5041
1,5042
1,5043
1,5044
1,5045
1,5046
1,5047
1,5048
1,5049
1,5050
1,5051
1,5052
1,5053
1,5054
1,5055
1,5056
1,5057
1,5058
1,5059
1,5060
1,5061
1,5062
1,5063
1,5064
1,5065
1,5066
1,5067
1,5068
1,5069
1,5070
1,5071
1,5072
1,5073
1,5074
1,5075
1,5076
1,5077
1,5078
1,5079
1,5080
1,5081
1,5082
1,5083
1,5084
1,5085
1,5086
1,5087
1,5088
1,5089
1,5090
1,5091
1,5092
1,5093
1,5094
1,5095
1,5096
1,5097
1,5098
1,5099
1,5100
1,5101
1,5102
1,5103
1,5104
1,5105
1,5106
1,5107
1,5108
1,5109
1,5110
1,5111
1,5112
1,5113
1,5114
1,5115
1,5116
1,5117
1,5118
1,5119
1,5120
1,5121
1,5122
1,5123
1,5124
1,5125
1,5126
1,5127
1,5128
1,5129
1,5130
1,5131
1,5132
1,5133
1,5134
1,5135
1,5136
1,5137
1,5138
1,5139
1,5140
1,5141
1,5142
1,5143
1,5144
1,5145
1,5146
1,5147
1,5148
1,5149
1,5150
1,5151
1,5152
1,5153
1,5154
1,5155
1,5156
1,5157
1,5158
1,5159
1,5160
1,5161
1,5162
1,5163
1,5164
1,5165
1,5166
1,5167
1,5168
1,5169
1,5170
1,5171
1,5172
1,5173
1,5174
1,5175
1,5176
1,5177
1,5178
1,5179
1,5180
1,5181
1,5182
1,5183
1,5184
1,5185
1,5186
1,5187
1,5188
1,5189
1,5190
1,5191
1,5192
1,5193
1,5194
1,5195
1,5196
1,5197
1,5198
1,5199
1,5200
1,5201
1,5202
1,5203
1,5204
1,5205
1,5206
1,5207
1,5208
1,5209
1,5210
1,5211
1,5212
1,5213
1,5214
1,5215
2,5216
2,5217
2,5218
2,5219
2,5220
2,5221
2,5222
2,5223
2,5224
2,5225
2,5226
2,5227
2,5228
2,5229
2,5230
2,5231
2,5232
2,5233
2,5234
2,5235
2,5236
2,5237
2,5238
2,5239
2,5240
2,5241
2,5242
2,5243
2,5244
2,5245
2,5246
2,5247
2,5248
2,5249
2,5250
2,5251
2,5252
2,5253
2,5254
2,5255
2,5256
2,5257
2,5258
2,5259
2,5260
2,5261
2,5262
2,5263
2,5264
2,5265
2,5266
2,5267
2,5268
2,5269
2,5270
2,5271
2,5272
2,5273
2,5274
2,5275
2,5276
2,5277
2,5278
2,5279
2,5280
2,5281
2,5282
2,5283
2,5284
2,5285
2,5286
2,5287
2,5288
2,5289
2,5290
2,5291
2,5292
2,5293
2,5294
2,5295
2,5296
2,5297
2,5298
2,5299
2,5300
2,5301
2,5302
2,5303
2,5304
2,5305
2,5306
2,5307
2,5308
2,5309
2,5310
2,5311
2,5312
2,5313
2,5314
2,5315
2,5316
2,5317
2,5318
2,5319
2,5320
2,5321
2,5322
2,5323
2,5324
2,5325
2,5326
2,5327
2,5328
2,5329
2,5330
2,5331
2,5332
2,5333
2,5334
2,5335
2,5336
2,5337
2,5338
2,5339
2,5340
2,5341
2,5342
2,5343
2,5344
2,5345
2,5346
2,5347
2,5348
2,5349
2,5350
2,5351
2,5352
2,5353
2,5354
2,5355
2,5356
2,5357
2,5358
2,5359
2,5360
2,5361
2,5362
2,5363
2,5364
2,5365
2,5366
2,5367
2,5368
2,5369
2,5370
2,5371
2,5372
2,5373
2,5374
2,5375
2,5376
2,5377
2,5378
2,5379
2,5380
2,5381
2,5382
2,5383
2,5384
2,5385
2,5386
2,5387
2,5388
2,5389
2,5390
2,5391
2,5392
2,5393
2,5394
2,5395
2,5396
2,5397
2,5398
2,5399
2,5400
2,5401
2,5402
2,5403
2,5404
